Purchase_ID,Purchase Date,Material Name,Category,Grade/Spec,Supplier,Unit,Quantity,Wholesale Rate,Discount,GST,Total Amount,Payment Mode,Invoice No,Remarks
PMT1789,21/10/2025,shree cement ppc grade,Cement,OPC 53,N/A,bag,3030 bag,6863.24,7.5,28%,24622010.76,Bank Transfer,INV-2023-2477,Urgent site delivery
PMT2112,02-13-2024,Orientbell Ceramic Bathroom Tiles 300x600mm,Tiles,Ceramic,Orientbell Depot,box,4508,2745.64,0,5,12996212.38,N.A.,INV-2025-4195,
PMT1416,-,Havells FR Electrical Wires 1.0 sq mm,Electrical,,Polycab Distributor,meter,1522.41,9281.97,12.5,5%,12982823.13,,INV-2024-1447,Urgent site delivery
PMT1326,03-23-2023,centuryply marine plywood is:710 19mm,Wood,,NA,sheet,1412.78,8722.18,10%,12,12421101.63,Bank Transfer,INV-2025-4644,Bulk order discount applied
PMT2253,10-08-2024,Ashirvad UPVC Drainage Pipes Schedule 40 110mm,Plumbing,Standard,Ashirvad Sales Corp,meter,3347.31 meter,7289.2,12.5,null,NIL,N.A.,INV-2023-6727,
PMT2200,12 Jun 2023,Havells FR Electrical Wires 1.0 sq mm,Electrical,,Havells Electric Store,meter,4633.1,6331.83,NIL,28,30040065.61,NEFT,INV-2023-1393,
PMT1754,28-02-2023,JK WALLMAXX WALL PUTTY,Finishing,N/A,NA,bag,3447.19,908.61,12.5,12,3069508.28,UPI,INV-2023-2288,Urgent site delivery
PMT1340,2023-05-14,Birla White WallCare Putty 1.5mm,Finishing,Standard,JK Wall Solutions,bag,1381,45.58,20,28%,64456.68,UPI,INV-2025-1329,Damaged packaging noted
PMT1331,25 Mar 2025,FINOLEX PVC CONDUIT PIPES 25MM,Electrical,Standard,Havells Electric Store,meter,1240,"7,038.89",10%,12%,8798049.39,RTGS,INV-2024-7965,Return pending
PMT1166,16 Jan 2024,Ashirvad UPVC Drainage Pipes Schedule 40 110MM,Plumbing,N/A,Ashirvad Sales Corp,meter,2057.13,1088.36,15,18%,2245614.7,CHEQUE,INV-2025-2279,late delivery
PMT1970,17 Jul 2025,Red Clay Bricks Class 7.5,Masonry,,Bharat Bricks & Blocks,piece,2564,Rs. 4856.34,5%,5%,12420526.62,UPI,INV-2025-4446,duplicate entry?
PMT1350,null,JSW Neosteel TMT Bars Fe 550D 25mm,Steel,,JSW Steel Distributor,kg,3952.34,5814.0,10,28%,26471698.28,CHEQUE,INV-2023-8568,Damaged packaging noted
PMT2282,22/02/2025,Tata Tiscon TMT Bars Fe 500D 12mm,Steel,Fe 550D,SRMB Steel Point,kg,4083.9,Rs. 7078.28,5%,12%,30757034.9,Cheque,INV-2025-8076,duplicate entry?
PMT2346,NIL,biltech aac blocks 200mm,Masonry,N/A,AAC Block Traders,piece,1231.96,"5,205.98",0%,5%,6734237.08,Bank Transfer,INV-2024-3141,Approved by site engineer
PMT2138,09/08/2024,Ashirvad UPVC Drainage Pipes Schedule 40 110mm,Plumbing,N/A,Ashirvad Sales Corp,METER,4401.68,"9,023.67",10,5,37534745.84,CHEQUE,INV-2024-3224,Urgent site delivery
PMT2049,12/03/2025,ACC Cement OPC 43 Grade,Cement,PPC,Regional Cement Traders,bag,1259,5359.11,0,5,7084475.46,CHEQUE,INV-2024-9195,
PMT1109,11-01-2023,JK WallMaxX Wall Putty,Finishing,,Birla Putty Depot,bag,4244.98,Rs. 9216.83,10,28,45072298.38,Bank Transfer,INV-2024-1291,
PMT1129,04.07.2025,  Manufactured Sand (M-Sand) 4.75mm  ,Aggregate,Standard,GreenBuild Materials,ton,1474.79,5467.87,2,28,10115431.42,RTGS,INV-2023-7269,
PMT2273,22-03-2025,havells fr electrical wires 1.5 sq mm,Electrical,,Havells Electric Store,meter,4671,Rs. 7202.14,0%,5%,,,INV-2025-2490,
PMT1317,2025.02.01,schneider mcb b-curve 32a,Electrical,,Polycab Distributor,piece,575.62 piece,816.42,NA,28%,INR N/A,UPI,INV-2023-6508,late delivery
PMT2283,08/08/2023,Concrete Column Cover Blocks 40mm,Masonry,,Bharat Bricks & Blocks,piece,60,Rs. 7914.87,20,18%,448298.24,Cash,,
PMT2198,2023-01-18,Dalmia Cement PPC Grade,Cement,PPC,ambuja direct depot,NA,N/A,7664.19,5%,18,23145654.53,UPI,INV-2023-7956,late delivery
PMT2150,2023-08-03,Plastering Sand (P-Sand) 2.36mm,Aggregate,N/A,GreenBuild Materials,ton,2106,3426.81,0,18%,8515896.99,CHEQUE,INV-2024-6973,Bulk order discount applied
